movieId,rating
1,3.872469636
2,3.401869159
3,3.161016949
4,2.384615385
5,3.267857143
6,3.884615385
7,3.283018868
8,3.8
9,3.15
10,3.450819672
11,3.68902439
12,2.861111111
13,3.9375
14,3.451612903
15,2.318181818
16,3.948863636
17,3.924418605
18,3.288461538
19,2.597826087
20,2.538461538
21,3.536842105
22,3.355263158
23,3.090909091
24,3.044117647
25,3.742574257
26,4.1
27,3.142857143
28,4.083333333
29,4.025
30,4.05
31,3.178571429
32,3.923469388
34,3.601351351
35,3.545454545
36,3.9375
37,2
38,2
39,3.55
40,3.916666667
41,4.02173913
42,2.333333333
43,3.625
44,2.697368421
45,3.523255814
46,3.166666667
47,4.034825871
48,2.926229508
49,4
50,4.370646766
52,3.637254902
53,5
54,3.666666667
55,3.333333333
57,3.142857143
58,4
59,4
60,2.828125
61,3.571428571
62,3.689655172
63,2.833333333
64,2.4
65,2.025
66,2
68,3.5
69,3.818181818
70,3.020833333
71,2.428571429
72,3.166666667
73,4.115384615
74,3.026315789
76,3.333333333
77,4
78,3.2
79,2.961538462
80,4.625
81,3.25
82,3.8
83,3
84,4
85,4.0625
86,3.764705882
87,1.666666667
88,2.891304348
89,3.441176471
92,3.541666667
93,2.227272727
94,3.568181818
95,3.177419355
96,1
97,3.875
98,3
99,2.75
100,3.428571429
101,3.882352941
102,2.590909091
103,4
104,3.292553191
105,3.114583333
107,3.462962963
108,4
110,3.945175439
111,4.224576271
112,3.295918367
113,3.2
114,3
116,4.75
117,3
118,2.8
119,3
121,3.8
122,3.052631579
123,4
124,3
125,3.714285714
126,2.7
129,3
130,4.5
131,2
132,2.875
135,3
137,1
140,3.47826087
141,3.580645161
144,3.326923077
145,3.279069767
146,4.333333333
147,3.642857143
148,4
149,4.333333333
150,3.9025
151,3.5625
152,3.833333333
153,2.782945736
154,3.8125
155,3.055555556
156,3.954545455
157,2.375
158,2.870689655
159,3.9375
160,2.341269841
161,3.83125
162,4.136363636
163,3.515873016
164,3.557692308
165,3.443661972
166,3
167,4
168,3.11627907
169,2.5625
170,3.288461538
171,4.333333333
172,2.572916667
173,2.564285714
174,2.25
175,3.956521739
176,3.777777778
177,2.884615385
178,4.7
179,3.5
180,3.306818182
181,1.8
183,5
184,4.5
185,3.102941176
186,2.875
187,2.833333333
188,3.125
189,4
190,3.833333333
191,3
193,2.314285714
194,4.291666667
195,3.214285714
196,2.809090909
198,3.441860465
199,3.333333333
200,4
201,4
202,3
203,3.304347826
204,3
205,4
206,3.6
207,3.375
208,2.752212389
209,2.6
211,3.333333333
213,4.222222222
214,3
215,3.722222222
216,3.023809524
217,2.714285714
218,3.333333333
219,4.25
220,3
222,3.931818182
223,3.963302752
224,3.6
225,3.173076923
227,3.15625
228,2
229,4.083333333
230,3.7
231,3.110759494
232,4.208333333
233,4.269230769
234,2.75
235,3.903846154
236,3.358333333
237,3.191176471
238,3
239,2.933333333
240,3.4
241,3.5
242,3.75
243,4
244,3
245,3
246,4.040983607
247,3.651162791
248,3.153846154
249,3.375
250,3.25
251,3
252,3.06097561
253,3.396
254,3
255,2.2
256,2.702380952
257,3.576923077
258,2.5
259,3.7
260,4.221649485
261,3.715686275
262,3.85
263,3
264,4.5
265,3.879032258
266,3.48630137
267,2.730769231
268,4.25
269,3.666666667
270,3.222222222
271,3.5
272,4
273,3.12962963
274,2.666666667
275,2.8
276,2.863636364
277,3.357142857
278,3
279,2.875
280,4.113636364
281,3.861111111
282,3.284090909
283,3
285,4
287,3.2
288,3.336448598
289,3.464285714
290,3.9375
291,2
292,3.309090909
293,4.071969697
294,3.333333333
295,3
296,4.25617284
299,3.75
300,3.75
301,5
302,3.714285714
303,3.1875
304,3.333333333
305,2.75
306,4.171875
307,4.14516129
308,4.159090909
309,5
312,3.6
313,2.714285714
314,3.941176471
315,2.909090909
316,3.368965517
317,2.964285714
318,4.487138264
319,3.973684211
320,2.75
321,3.642857143
322,3.642857143
324,3.333333333
325,3
326,4.071428571
327,2.75
328,3.625
329,3.350877193
330,2.7
331,3
332,3.2
333,3.32
334,3.071428571
335,3
336,3
337,3.795454545
338,2.8
339,3.440594059
340,3
341,4.5
342,3.4375
343,3
344,2.871428571
345,3.75
346,3
347,3.857142857
348,3.9375
349,3.786956522
350,3.328571429
351,3.192307692
352,3.357142857
353,3.589552239
354,3.5
355,2.205128205
356,4.054252199
357,3.68442623
358,2.428571429
360,2.5
361,3.38
362,3.45
363,4.5
364,3.7775
365,3
366,3.272727273
367,3.070063694
368,3.535211268
369,3.055555556
370,3.052238806
371,3.25
372,3.058823529
373,4.138888889
374,2.1
375,3.666666667
376,3.425531915
377,3.566666667
378,3.25
379,3.261904762
380,3.515151515
381,3.137931034
382,3.105263158
383,3.115384615
384,3.25
387,3.666666667
388,3.666666667
389,4
390,4.1
391,3
392,2.666666667
393,2.1
401,4
405,2.3125
407,3.05
408,3
409,2.5
410,3.150684932
412,3.54
413,2.307692308
414,2.5
415,2.833333333
416,3.25
417,3.615384615
418,3
419,2.6
420,2.631578947
421,3
422,3.722222222
423,3.392857143
424,3
425,3.875
426,3.166666667
427,2.428571429
428,3.717391304
429,2.555555556
431,3.671875
432,2.650793651
433,2.857142857
434,3.08490566
435,2.463636364
436,2.2
437,2.75
438,3
439,1
440,3.561111111
441,3.662162162
442,2.968421053
443,2.666666667
444,3
445,3.111111111
446,4
447,4
448,3.590909091
449,3.5
450,3.4375
451,3.428571429
452,4
453,2.4
454,3.472727273
455,2.838709677
456,3.333333333
457,3.953051643
458,3.75
459,3.5
460,2.5
461,3.3
463,3.428571429
464,3.111111111
465,3.5
466,3.169491525
467,3.333333333
468,3.303030303
469,3.125
470,2
471,3.87755102
472,3.5
473,1
474,3.8625
475,4.209677419
476,4
477,3.59375
479,3.25
480,3.70620438
481,3.34375
482,2.85
483,2.75
484,2.75
485,2.886792453
486,2.5
487,3.5
